section,strat,strat2,sampleid,del13Ctoc,measurement,value
Bonenburg,Contorta Beds,Pre-event Beds,1051,-25.1,TN,0.06
Bonenburg,Contorta Beds,Pre-event Beds,1051,-25.1,TOCcfb,0.77
Bonenburg,Contorta Beds,Pre-event Beds,1051,-25.1,Na_Al,0.010756794421281834
Bonenburg,Contorta Beds,Pre-event Beds,1051,-25.1,K_Al,0.1587344290967548
Bonenburg,Triletes Beds,Event Beds,1075,-23,height,13.55
Bonenburg,Triletes Beds,Event Beds,1075,-23,CaCO3,10.06
Bonenburg,Triletes Beds,Event Beds,1075,-23,TN,0.06
Bonenburg,Triletes Beds,Event Beds,1075,-23,TOCcfb,0.54
Bonenburg,Triletes Beds,Event Beds,1075,-23,Na_Al,0.004995744444666465
Bonenburg,Triletes Beds,Event Beds,1075,-23,K_Al,0.1306023967146387
Bonenburg,Triletes Beds,Event Beds,1100,-24,height,13.89
Bonenburg,Triletes Beds,Event Beds,1100,-24,CaCO3,6.98
Bonenburg,Triletes Beds,Event Beds,1100,-24,TN,0.05
Bonenburg,Triletes Beds,Event Beds,1100,-24,TOCcfb,0.35
Bonenburg,Triletes Beds,Event Beds,1100,-24,Na_Al,0.006582934085940705
Bonenburg,Triletes Beds,Event Beds,1100,-24,K_Al,0.12740969811271224
Bonenburg,Triletes Beds,Event Beds,1150,-23.9,height,14.24
Bonenburg,Triletes Beds,Event Beds,1150,-23.9,CaCO3,8.07
Bonenburg,Triletes Beds,Event Beds,1150,-23.9,TN,0.05
Bonenburg,Triletes Beds,Event Beds,1150,-23.9,TOCcfb,0.53
Bonenburg,Triletes Beds,Event Beds,1150,-23.9,Na_Al,0.004956562135296532
Bonenburg,Triletes Beds,Event Beds,1150,-23.9,K_Al,0.12509580410929463
Bonenburg,Triletes Beds,Event Beds,1200,-23.4,height,14.65
Bonenburg,Triletes Beds,Event Beds,1200,-23.4,CaCO3,9.8
Bonenburg,Triletes Beds,Event Beds,1200,-23.4,TN,0.05
Bonenburg,Triletes Beds,Event Beds,1200,-23.4,TOCcfb,0.37
Bonenburg,Triletes Beds,Event Beds,1200,-23.4,Na_Al,0.006007240230516233
Bonenburg,Triletes Beds,Event Beds,1200,-23.4,K_Al,0.12326602562434799
Bonenburg,Triletes Beds,Event Beds,1250,-23.7,height,15.07
Bonenburg,Triletes Beds,Event Beds,1250,-23.7,CaCO3,8.03
Bonenburg,Triletes Beds,Event Beds,1250,-23.7,TN,0.05
Bonenburg,Triletes Beds,Event Beds,1250,-23.7,TOCcfb,0.45
Bonenburg,Triletes Beds,Event Beds,1250,-23.7,Na_Al,0.005393247202939374
Bonenburg,Triletes Beds,Event Beds,1250,-23.7,K_Al,0.11684314343240895
Bonenburg,Triletes Beds,Event Beds,1300,-23.6,height,15.5
Bonenburg,Triletes Beds,Event Beds,1300,-23.6,CaCO3,13.19
Bonenburg,Triletes Beds,Event Beds,1300,-23.6,TN,0.03
Bonenburg,Triletes Beds,Event Beds,1300,-23.6,TOCcfb,0.39
Bonenburg,Triletes Beds,Event Beds,1300,-23.6,Na_Al,0.008201688369368748
Bonenburg,Triletes Beds,Event Beds,1300,-23.6,K_Al,0.1237798499570262
Bonenburg,Triletes Beds,Event Beds,1350,-23.2,height,15.9
Bonenburg,Triletes Beds,Event Beds,1350,-23.2,CaCO3,13.52
Bonenburg,Triletes Beds,Event Beds,1350,-23.2,TN,0.04
Bonenburg,Triletes Beds,Event Beds,1350,-23.2,TOCcfb,0.34
Bonenburg,Triletes Beds,Event Beds,1350,-23.2,Na_Al,0.00602505831594573
Bonenburg,Triletes Beds,Event Beds,1350,-23.2,K_Al,0.12371970191922248
Bonenburg,Triletes Beds,Event Beds,1400,-23.3,height,16.29
Bonenburg,Triletes Beds,Event Beds,1400,-23.3,CaCO3,11.76
Bonenburg,Triletes Beds,Event Beds,1400,-23.3,TN,0.04
Bonenburg,Triletes Beds,Event Beds,1400,-23.3,TOCcfb,0.45
Bonenburg,Triletes Beds,Event Beds,1400,-23.3,Na_Al,0.006959930311126738
Bonenburg,Triletes Beds,Event Beds,1400,-23.3,K_Al,0.11855461238356647
Bonenburg,Triletes Beds,Event Beds,1450,-23.5,height,16.72
Bonenburg,Triletes Beds,Event Beds,1450,-23.5,CaCO3,8.82
Bonenburg,Triletes Beds,Event Beds,1450,-23.5,TN,0.04
Bonenburg,Triletes Beds,Event Beds,1450,-23.5,TOCcfb,0.48
Bonenburg,Triletes Beds,Event Beds,1450,-23.5,Na_Al,0.008420809084553593
Bonenburg,Triletes Beds,Event Beds,1450,-23.5,K_Al,0.15612413059358718
Bonenburg,Triletes Beds,Event Beds,1500,-23.2,height,17.15
Bonenburg,Triletes Beds,Event Beds,1500,-23.2,CaCO3,10.82
Bonenburg,Triletes Beds,Event Beds,1500,-23.2,TN,0.03
Bonenburg,Triletes Beds,Event Beds,1500,-23.2,TOCcfb,0.42
Bonenburg,Triletes Beds,Event Beds,1500,-23.2,Na_Al,0.008336177837472652
Bonenburg,Triletes Beds,Event Beds,1500,-23.2,K_Al,0.12165988249314555
Bonenburg,Triletes Beds,Event Beds,1550,-23.5,height,17.55
Bonenburg,Triletes Beds,Event Beds,1550,-23.5,CaCO3,9.02
Bonenburg,Triletes Beds,Event Beds,1550,-23.5,TN,0.05
Bonenburg,Triletes Beds,Event Beds,1550,-23.5,TOCcfb,0.3
Bonenburg,Triletes Beds,Event Beds,1550,-23.5,Na_Al,0.006497441435473943
Bonenburg,Triletes Beds,Event Beds,1550,-23.5,K_Al,0.14349053379684096
Bonenburg,Triletes Beds,Event Beds,1600,-23.3,height,17.94
Bonenburg,Triletes Beds,Event Beds,1600,-23.3,CaCO3,5.98
