section,strat,strat2,sampleid,height,measurement,value
Bonenburg,Triletes Beds,Event Beds,2300,23.73,Na_Al,0.007059146338966203
Bonenburg,Triletes Beds,Event Beds,2300,23.73,K_Al,0.10169615234611033
Bonenburg,Triletes Beds,Event Beds,2350,24.17,CaCO3,13.05
Bonenburg,Triletes Beds,Event Beds,2350,24.17,TN,0.03
Bonenburg,Triletes Beds,Event Beds,2350,24.17,del13Ctoc,-23.3
Bonenburg,Triletes Beds,Event Beds,2350,24.17,TOCcfb,0.24
Bonenburg,Triletes Beds,Event Beds,2350,24.17,Na_Al,0.01807079945160193
Bonenburg,Triletes Beds,Event Beds,2350,24.17,K_Al,0.1500877997185348
Bonenburg,Triletes Beds,Event Beds,2400,24.65,CaCO3,9.46
Bonenburg,Triletes Beds,Event Beds,2400,24.65,TN,0.04
Bonenburg,Triletes Beds,Event Beds,2400,24.65,del13Ctoc,-23.6
Bonenburg,Triletes Beds,Event Beds,2400,24.65,TOCcfb,0.55
Bonenburg,Triletes Beds,Event Beds,2400,24.65,Na_Al,0.014469419476028086
Bonenburg,Triletes Beds,Event Beds,2400,24.65,K_Al,0.14968771799803607
Bonenburg,Triletes Beds,Event Beds,2450,25.03,CaCO3,13.41
Bonenburg,Triletes Beds,Event Beds,2450,25.03,TN,0.03
Bonenburg,Triletes Beds,Event Beds,2450,25.03,del13Ctoc,-23.3
Bonenburg,Triletes Beds,Event Beds,2450,25.03,TOCcfb,0.31
Bonenburg,Triletes Beds,Event Beds,2450,25.03,Na_Al,0.01739775436998615
Bonenburg,Triletes Beds,Event Beds,2450,25.03,K_Al,0.14349053379684096
Bonenburg,Triletes Beds,Event Beds,2500,25.4,CaCO3,15.39
Bonenburg,Triletes Beds,Event Beds,2500,25.4,TN,0.02
Bonenburg,Triletes Beds,Event Beds,2500,25.4,del13Ctoc,-23.5
Bonenburg,Triletes Beds,Event Beds,2500,25.4,TOCcfb,0.12
Bonenburg,Triletes Beds,Event Beds,2500,25.4,Na_Al,0.033012923177254884
Bonenburg,Triletes Beds,Event Beds,2500,25.4,K_Al,0.14965700810051377
Bonenburg,Triletes Beds,Event Beds,2550,25.81,CaCO3,14.99
Bonenburg,Triletes Beds,Event Beds,2550,25.81,TN,0.03
Bonenburg,Triletes Beds,Event Beds,2550,25.81,del13Ctoc,-23.2
Bonenburg,Triletes Beds,Event Beds,2550,25.81,TOCcfb,0.15
Bonenburg,Triletes Beds,Event Beds,2550,25.81,Na_Al,0.011285029861612639
Bonenburg,Triletes Beds,Event Beds,2550,25.81,K_Al,0.14101655907620583
Bonenburg,Triletes Beds,Event Beds,2650,26.73,CaCO3,14.8
Bonenburg,Triletes Beds,Event Beds,2650,26.73,TN,0.02
